               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.10994,             0.41759,                   0,             0.33939,             0.16253,             0.18501,            0.057559,             0.10167,             0.88309,                   0,           0.0098161,           0.0098161,           0.0098161
                  54,              0.1102,             0.46712,                   0,             0.33939,             0.16253,             0.18501,            0.057559,             0.10167,             0.88309,                   0,           0.0098126,           0.0098126,           0.0098126
                  55,             0.10615,             0.44375,                   0,             0.35388,             0.15881,             0.17698,            0.052245,              0.1014,             0.84648,                   0,           0.0098091,           0.0098091,           0.0098091
                  56,             0.10719,             0.46337,                   0,             0.35388,             0.15881,             0.17698,            0.052245,              0.1014,             0.84648,                   0,           0.0098055,           0.0098055,           0.0098055
                  57,             0.10727,             0.45351,                   0,             0.32985,               0.134,             0.14734,             0.04221,              0.1026,             0.80549,                   0,            0.009802,            0.009802,            0.009802
                  58,             0.10687,              0.5134,                   0,             0.32985,               0.134,             0.14734,             0.04221,              0.1026,             0.80549,                   0,           0.0097985,           0.0097985,           0.0097985
                  59,             0.10823,             0.41464,                   0,             0.31002,             0.12903,             0.14503,            0.040114,             0.10282,             0.82491,                   0,           0.0097949,           0.0097949,           0.0097949
                  60,             0.10837,             0.47611,                   0,             0.31002,             0.12903,             0.14503,            0.040114,             0.10282,             0.82491,                   0,           0.0097914,           0.0097914,           0.0097914
                  61,             0.10939,             0.36737,                   0,             0.29413,             0.12283,             0.13827,            0.042077,             0.10268,             0.82316,                   0,           0.0097879,           0.0097879,           0.0097879
                  62,             0.10448,             0.49015,                   0,             0.29413,             0.12283,             0.13827,            0.042077,             0.10268,             0.82316,                   0,           0.0097843,           0.0097843,           0.0097843
                  63,             0.10684,             0.46323,                   0,             0.29771,             0.12035,             0.12648,            0.038987,             0.10372,             0.79831,                   0,           0.0097808,           0.0097808,           0.0097808
                  64,             0.10775,             0.42422,                   0,             0.29771,             0.12035,             0.12648,            0.038987,             0.10372,             0.79831,                   0,           0.0097773,           0.0097773,           0.0097773
                  65,             0.10471,             0.39308,                   0,             0.25923,             0.10422,             0.10837,            0.034544,             0.10588,             0.79208,                   0,           0.0097737,           0.0097737,           0.0097737
                  66,             0.10663,             0.39966,                   0,             0.25923,             0.10422,             0.10837,            0.034544,             0.10588,             0.79208,                   0,           0.0097702,           0.0097702,           0.0097702
                  67,             0.10768,             0.47692,                   0,             0.27241,             0.10794,               0.108,            0.031566,             0.10683,             0.79369,                   0,           0.0097666,           0.0097666,           0.0097666
                  68,             0.10914,             0.45786,                   0,             0.27241,             0.10794,               0.108,            0.031566,             0.10683,             0.79369,                   0,           0.0097631,           0.0097631,           0.0097631
                  69,             0.10723,             0.44598,                   0,             0.25681,             0.10298,             0.10509,            0.032242,             0.10821,             0.79264,                   0,           0.0097596,           0.0097596,           0.0097596
                  70,             0.10859,             0.45744,                   0,             0.25681,             0.10298,             0.10509,            0.032242,             0.10821,             0.79264,                   0,            0.009756,            0.009756,            0.009756
                  71,              0.1043,             0.40087,                   0,             0.20525,             0.08933,             0.08529,            0.025026,             0.10836,             0.81726,                   0,           0.0097525,           0.0097525,           0.0097525
                  72,             0.10454,             0.49557,                   0,             0.20525,             0.08933,             0.08529,            0.025026,             0.10836,             0.81726,                   0,            0.009749,            0.009749,            0.009749
                  73,             0.10758,             0.50422,                   0,              0.2705,             0.10794,             0.10959,            0.032703,             0.10966,             0.78563,                   0,           0.0097454,           0.0097454,           0.0097454
                  74,             0.10515,             0.42464,                   0,              0.2705,             0.10794,             0.10959,            0.032703,             0.10966,             0.78563,                   0,           0.0097419,           0.0097419,           0.0097419
                  75,             0.10598,             0.38716,                   0,             0.23774,             0.11911,             0.11572,            0.034617,             0.10938,             0.78671,                   0,           0.0097384,           0.0097384,           0.0097384
                  76,             0.10479,             0.41895,                   0,             0.23774,             0.11911,             0.11572,            0.034617,             0.10938,             0.78671,                   0,           0.0097348,           0.0097348,           0.0097348
                  77,            0.099922,             0.46168,                   0,              0.2249,            0.093052,            0.086732,            0.025186,             0.10697,             0.84501,                   0,           0.0097313,           0.0097313,           0.0097313
                  78,             0.10532,             0.46745,                   0,              0.2249,            0.093052,            0.086732,            0.025186,             0.10697,             0.84501,                   0,           0.0097278,           0.0097278,           0.0097278
                  79,             0.10161,             0.40638,                   0,             0.22627,            0.093052,            0.095011,            0.029609,             0.10303,             0.80845,                   0,           0.0097242,           0.0097242,           0.0097242
                  80,             0.10023,             0.42129,                   0,             0.22627,            0.093052,            0.095011,            0.029609,             0.10303,             0.80845,                   0,           0.0097207,           0.0097207,           0.0097207
                  81,             0.10319,             0.40423,                   0,             0.25411,             0.10918,             0.11222,            0.035986,             0.10088,             0.82548,                   0,           0.0097171,           0.0097171,           0.0097171
                  82,            0.099356,             0.52841,                   0,             0.25411,             0.10918,             0.11222,            0.035986,             0.10088,             0.82548,                   0,           0.0097136,           0.0097136,           0.0097136
                  83,             0.10503,             0.48027,                   0,             0.33736,             0.13524,             0.15117,            0.057269,             0.10141,              0.8693,                   0,           0.0097101,           0.0097101,           0.0097101
                  84,             0.10125,             0.38487,                   0,             0.33736,             0.13524,             0.15117,            0.057269,             0.10141,              0.8693,                   0,           0.0097065,           0.0097065,           0.0097065
                  85,             0.10603,              0.4324,                   0,             0.32976,             0.13275,             0.15386,            0.051327,            0.099909,             0.78217,                   0,            0.009703,            0.009703,            0.009703
                  86,              0.1021,             0.41862,                   0,             0.32976,             0.13275,             0.15386,            0.051327,            0.099909,             0.78217,                   0,           0.0096995,           0.0096995,           0.0096995
                  87,             0.10154,             0.40284,                   0,             0.22396,            0.099256,            0.092579,             0.02615,            0.099109,             0.79925,                   0,           0.0096959,           0.0096959,           0.0096959
                  88,             0.10302,             0.50183,                   0,             0.22396,            0.099256,            0.092579,             0.02615,            0.099109,             0.79925,                   0,           0.0096924,           0.0096924,           0.0096924
                  89,             0.10189,             0.50881,                   0,             0.21088,             0.10422,            0.094293,            0.028539,            0.099329,             0.92067,                   0,           0.0096889,           0.0096889,           0.0096889
                  90,             0.10504,             0.47901,                   0,             0.21088,             0.10422,            0.094293,            0.028539,            0.099329,             0.92067,                   0,           0.0096853,           0.0096853,           0.0096853
                  91,             0.10109,             0.50774,                   0,                0.27,              0.1005,             0.15381,            0.043204,              0.1047,             0.97135,                   0,           0.0096818,           0.0096818,           0.0096818
                  92,             0.10358,             0.42054,                   0,                0.27,              0.1005,             0.15381,            0.043204,              0.1047,             0.97135,                   0,           0.0096783,           0.0096783,           0.0096783
                  93,             0.10488,             0.42016,                   0,              0.3095,             0.13027,             0.14457,            0.048325,            0.097525,             0.80406,                   0,           0.0096747,           0.0096747,           0.0096747
                  94,             0.10012,             0.46022,                   0,              0.3095,             0.13027,             0.14457,            0.048325,            0.097525,             0.80406,                   0,           0.0096712,           0.0096712,           0.0096712
                  95,             0.10174,             0.40902,                   0,             0.29033,             0.12159,             0.13456,            0.045617,            0.099185,             0.79613,                   0,           0.0096676,           0.0096676,           0.0096676
                  96,             0.10026,             0.44028,                   0,             0.29033,             0.12159,             0.13456,            0.045617,            0.099185,             0.79613,                   0,           0.0096641,           0.0096641,           0.0096641
                  97,            0.098006,             0.50759,                   0,             0.28667,              0.1067,             0.16992,             0.05929,             0.10296,             0.93518,                   0,           0.0096606,           0.0096606,           0.0096606
                  98,              0.1033,             0.44192,                   0,             0.28667,              0.1067,             0.16992,             0.05929,             0.10296,             0.93518,                   0,            0.009657,            0.009657,            0.009657
                  99,             0.10302,             0.43241,                   0,             0.30333,              0.1129,             0.18657,            0.063922,             0.10385,             0.97638,                   0,           0.0096535,           0.0096535,           0.0096535
                 100,             0.10193,             0.37587,                   0,             0.30333,              0.1129,             0.18657,            0.063922,             0.10385,             0.97638,                   0,             0.00965,             0.00965,             0.00965
                 101,            0.098995,             0.39236,                   0,             0.29667,             0.11042,             0.17701,            0.058785,             0.10418,              1.0785,                   0,           0.0096464,           0.0096464,           0.0096464
                 102,            0.098762,             0.45039,                   0,             0.29667,             0.11042,             0.17701,            0.058785,             0.10418,              1.0785,                   0,           0.0096429,           0.0096429,           0.0096429
                 103,            0.096125,             0.41219,                   0,             0.31046,               0.134,              0.1291,            0.038337,             0.10552,             0.91244,                   0,           0.0096394,           0.0096394,           0.0096394
                 104,             0.10139,             0.49424,                   0,             0.31046,               0.134,              0.1291,            0.038337,             0.10552,             0.91244,                   0,           0.0096358,           0.0096358,           0.0096358
                 105,            0.097885,               0.531,                   0,             0.31572,             0.13772,             0.15131,            0.050982,             0.10877,             0.96223,                   0,           0.0096323,           0.0096323,           0.0096323
                 106,            0.099865,             0.39743,                   0,             0.31572,             0.13772,             0.15131,            0.050982,             0.10877,             0.96223,                   0,           0.0096288,           0.0096288,           0.0096288
                 107,            0.097575,             0.40713,                   0,             0.34576,             0.13896,             0.15696,            0.043912,            0.093268,             0.89933,                   0,           0.0096252,           0.0096252,           0.0096252
                 108,            0.097953,             0.48941,                   0,             0.34576,             0.13896,             0.15696,            0.043912,            0.093268,             0.89933,                   0,           0.0096217,           0.0096217,           0.0096217
                 109,            0.099849,             0.51529,                   0,             0.36574,             0.15012,             0.16752,            0.054682,            0.094283,             0.81048,                   0,           0.0096181,           0.0096181,           0.0096181
                 110,            0.099235,             0.40703,                   0,             0.36574,             0.15012,             0.16752,            0.054682,            0.094283,             0.81048,                   0,           0.0096146,           0.0096146,           0.0096146
                 111,            0.097437,             0.44411,                   0,             0.38062,             0.15477,             0.17696,            0.053388,             0.09294,             0.81004,                   0,           0.0096111,           0.0096111,           0.0096111
                 112,            0.096915,             0.43857,                   0,             0.38062,             0.15477,             0.17696,            0.053388,             0.09294,             0.81004,                   0,           0.0096075,           0.0096075,           0.0096075
                 113,            0.098506,             0.36362,                   0,             0.34484,             0.14516,             0.15947,            0.045656,             0.09354,             0.82779,                   0,            0.009604,            0.009604,            0.009604
                 114,            0.097939,             0.44896,                   0,             0.34484,             0.14516,             0.15947,            0.045656,             0.09354,             0.82779,                   0,           0.0096005,           0.0096005,           0.0096005
                 115,            0.096591,             0.41259,                   0,             0.23538,            0.091811,            0.097443,            0.028482,            0.097583,             0.86547,                   0,           0.0095969,           0.0095969,           0.0095969
                 116,            0.097159,             0.43002,                   0,             0.23538,            0.091811,            0.097443,            0.028482,            0.097583,             0.86547,                   0,           0.0095934,           0.0095934,           0.0095934
                 117,            0.097576,              0.4609,                   0,             0.18398,            0.073201,            0.075043,            0.019864,            0.099496,             0.88176,                   0,           0.0095899,           0.0095899,           0.0095899
                 118,            0.094526,             0.40808,                   0,             0.18398,            0.073201,            0.075043,            0.019864,            0.099496,             0.88176,                   0,           0.0095863,           0.0095863,           0.0095863
                 119,            0.098597,             0.45403,                   0,             0.28536,             0.11414,             0.12471,            0.035438,            0.097856,             0.86407,                   0,           0.0095828,           0.0095828,           0.0095828
                 120,            0.095786,              0.4169,                   0,             0.28536,             0.11414,             0.12471,            0.035438,            0.097856,             0.86407,                   0,           0.0095793,           0.0095793,           0.0095793
                 121,             0.10094,             0.44741,                   0,             0.27363,             0.11787,             0.13406,            0.040347,            0.096719,             0.86303,                   0,           0.0095757,           0.0095757,           0.0095757
                 122,             0.10022,             0.56155,                   0,             0.27363,             0.11787,             0.13406,            0.040347,            0.096719,             0.86303,                   0,           0.0095722,           0.0095722,           0.0095722
